customer_id,first_name,last_name,gender,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car
1,Laraine,Medendorp,F,10/12/1953,Executive Secretary,Health,Mass Customer,N,Yes
2,Eli,Bockman,Male,12/16/1980,Administrative Officer,Financial Services,Mass Customer,N,Yes
3,Arlin,Dearle,Male,1/20/1954,Recruiting Manager,Property,Mass Customer,N,Yes
4,Talbot,,Male,10/3/1961,,IT,Mass Customer,N,No
5,Sheila-kathryn,Calton,Female,5/13/1977,Senior Editor,n/a,Affluent Customer,N,Yes
6,Curr,Duckhouse,Male,9/16/1966,,Retail,High Net Worth,N,Yes
7,Fina,Merali,Female,2/23/1976,,Financial Services,Affluent Customer,N,Yes
8,Rod,Inder,Male,3/30/1962,Media Manager I,n/a,Mass Customer,N,No
9,Mala,Lind,Female,3/10/1973,Business Systems Development Analyst,Argiculture,Affluent Customer,N,Yes
10,Fiorenze,Birdall,Female,10/11/1988,Senior Quality Engineer,Financial Services,Mass Customer,N,Yes
11,Uriah,Bisatt,Male,4/30/1954,,Property,Mass Customer,N,No
12,Sawyere,Flattman,Male,7/21/1994,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No
13,Gabriele,Norcross,Male,2/15/1955,Developer I,Financial Services,High Net Worth,N,Yes
14,Rayshell,Kitteman,Female,3/25/1983,Account Executive,Financial Services,Affluent Customer,N,No
15,Erroll,Radage,Male,7/13/2000,Junior Executive,Manufacturing,Mass Customer,N,No
16,Harlin,Parr,Male,2/27/1977,Media Manager IV,n/a,Mass Customer,N,Yes
17,Heath,Faraday,Male,3/19/1962,Sales Associate,n/a,Affluent Customer,N,Yes
18,Marjie,Neasham,Female,7/6/1967,Professor,n/a,Affluent Customer,N,No
19,Sorcha,Keyson,Female,4/15/2001,Geological Engineer,Manufacturing,High Net Worth,N,No
20,Basile,Firth,Male,8/13/1980,Project Manager,Manufacturing,Mass Customer,N,No
21,Mile,Cammocke,Male,9/20/1980,Safety Technician I,Manufacturing,Affluent Customer,N,Yes
22,Deeanne,Durtnell,Female,12/10/1962,,IT,Mass Customer,N,No
23,Olav,Polak,Male,2/10/1995,,n/a,High Net Worth,N,Yes
24,Kim,Skpsey,Female,12/3/1977,Research Assistant I,Argiculture,Mass Customer,N,Yes
25,Geoff,Assaf,Male,12/2/1976,Accounting Assistant III,Financial Services,Mass Customer,N,Yes
26,Trixi,Ginnelly,Female,6/10/1978,Editor,Financial Services,Mass Customer,N,Yes
27,Garvin,Klees,Male,9/25/1978,Research Nurse,Health,Mass Customer,N,Yes
28,Fee,Zellmer,Male,9/30/1973,Senior Quality Engineer,Health,Affluent Customer,N,Yes
29,Mona,Sancraft,Female,6/22/1968,Safety Technician III,Manufacturing,Mass Customer,N,No
30,Darrick,Helleckas,Male,10/18/1961,,IT,Affluent Customer,N,Yes
31,Star,Praton,Female,11/24/1962,Staff Accountant III,Telecommunications,High Net Worth,N,Yes
32,Marion,Vanichkin,Female,4/20/1995,Legal Assistant,Manufacturing,Affluent Customer,N,No
33,Ernst,Hacon,Male,6/25/1957,Product Engineer,n/a,Affluent Customer,N,Yes
34,Jephthah,Bachmann,U,1843-12-21,Legal Assistant,IT,Affluent Customer,N,No
35,Margaretha,Strettle,Female,9/28/1963,Information Systems Manager,Health,High Net Worth,N,Yes
36,Lurette,Stonnell,Female,11/9/1977,VP Quality Control,n/a,Affluent Customer,N,No
37,Laurie,Dwerryhouse,Female,12/22/1985,Social Worker,Health,High Net Worth,N,No
38,Cordi,Merman,Female,10/29/1955,Senior Cost Accountant,Financial Services,Affluent Customer,N,No
39,Hunfredo,Smalley,Male,4/16/1979,Assistant Media Planner,Entertainment,Mass Customer,N,No
40,Tomasine,Jerche,Female,10/27/1981,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,N,No
41,Basilius,Coupe,Male,4/14/1976,Food Chemist,Health,Mass Customer,N,No
42,Chiquita,Durnall,Female,3/28/1977,Accountant III,Manufacturing,Mass Customer,N,No
43,Indira,Belt,Female,3/1/1983,Director of Sales,Retail,Mass Customer,N,No
44,Neron,Verick,Male,10/18/1981,Assistant Media Planner,Entertainment,Affluent Customer,N,Yes
45,Trace,Woodhead,Male,9/23/1975,Senior Financial Analyst,Financial Services,Mass Customer,N,No
46,Kaila,Allin,Female,2/26/1972,,n/a,Affluent Customer,N,Yes
47,Matthew,Jeaycock,Male,10/22/1992,Registered Nurse,Health,Affluent Customer,N,No
48,Rebbecca,Casone,Female,8/15/1975,Biostatistician II,n/a,Mass Customer,N,Yes
